tariefeenheid,tweede_klas_vol_tarief,tweede_klas_20_korting,tweede_klas_40_korting,eerste_klas_vol_tarief,eerste_klas_20_korting,eerste_klas_40_korting
229,25.80,20.60,15.50,43.90,35.10,26.30
230,25.80,20.60,15.50,43.90,35.10,26.30
231,25.80,20.60,15.50,43.90,35.10,26.30
232,25.80,20.60,15.50,43.90,35.10,26.30
233,25.90,20.70,15.50,44.00,35.20,26.40
234,25.90,20.70,15.50,44.00,35.20,26.40
235,25.90,20.70,15.50,44.00,35.20,26.40
236,26.00,20.80,15.60,44.20,35.40,26.50
237,26.00,20.80,15.60,44.20,35.40,26.50
238,26.00,20.80,15.60,44.20,35.40,26.50
239,26.00,20.80,15.60,44.20,35.40,26.50
240,26.00,20.80,15.60,44.20,35.40,26.50
241,26.10,20.90,15.70,44.40,35.50,26.60
242,26.10,20.90,15.70,44.40,35.50,26.60
243,26.10,20.90,15.70,44.40,35.50,26.60
244,26.10,20.90,15.70,44.40,35.50,26.60
245,26.10,20.90,15.70,44.40,35.50,26.60
246,26.20,21.00,15.70,44.50,35.60,26.70
247,26.20,21.00,15.70,44.50,35.60,26.70
248,26.30,21.00,15.80,44.70,35.80,26.80
249,26.30,21.00,15.80,44.70,35.80,26.80
250,26.30,21.00,15.80,44.70,35.80,26.80
