Oosterhout,101954,110273,128379,131374,156579,143817,157637,153066,149907
Ooststellingwerf,54318,57189,62821,67173,54677,52185,50213,52260,53998
Oostzaan,5875,6041,39966,35098,35447,36897,29965,29600,29170
Opmeer,18929,18906,20073,20151,17937,16819,16869,16384,15904
Opsterland,76067,88355,94866,99561,106051,106848,104568,105226,107682
Oss,109188,108492,123124,134640,161269,146084,162300,155241,154658
Oud-Beijerland,20588,19083,20910,20912,21982,22572,26468,21936,20851
Oude IJsselstreek,83018,84993,76822,78529,78443,74047,70224,68345,66726
Ouder-Amstel,104707,124010,153259,138103,139706,144083,117390,122242,122812
Oudewater,15500,14815,13366,12514,14520,13333,12023,12361,13359
Overbetuwe,156914,188920,219523,208626,225975,233076,241617,232350,214825
Papendrecht,59400,61233,67760,63088,69747,72721,67265,70021,67999
Peel en Maas,110726,132902,149273,160299,129826,122345,124586,121594,118686
Pekela,23994,22047,27449,30380,25803,24409,23125,22162,22302
Pijnacker-Nootdorp,48817,29027,29071,41889,34785,43858,43457,39484,37759
Purmerend,53156,52982,56690,59772,57296,56057,55738,54780,54599
Putten,69817,75545,84396,81950,78593,78884,78213,75682,76998
Raalte,78286,82066,86174,91891,81172,76347,69773,70217,64742
Reimerswaal,113566,119753,204065,196557,227851,287182,317551,324183,258144
Renkum,71929,80565,81468,84607,78918,75071,78815,74232,68730
Renswoude,20433,23198,19339,17932,17684,17408,17895,17983,17943
Reusel-De Mierden,19637,19434,19707,22571,18787,17973,17846,17074,16125
Rheden,73141,70020,69883,66612,77890,76923,73700,66621,63757
Rhenen,34278,30635,34850,37215,38123,35328,36461,36075,34624
Ridderkerk,102497,120560,148298,149817,164031,182085,154758,146494,147929
Rijnwaarden,50959,51534,33841,32169,26718,30512,30747,32993,11481
Rijssen-Holten,74638,89139,113338,115742,127278,122962,127564,124371,117380
Rijswijk,46474,45489,52441,50685,67092,68782,69925,65326,64676
Roerdalen,30340,26902,33979,40318,47928,47375,45028,46522,43587
Roermond,74329,70942,58815,79894,110012,106821,108814,112457,111528
Roosendaal,119645,132248,145544,168269,172136,162039,165505,168333,162044
Rotterdam,1296829,1402945,1542023,1542053,1896070,1865225,1756595,1753910,1676922
Rozendaal,1932,2084,3233,2930,2950,2867,2566,2378,2311
Rucphen,41775,43555,50018,53404,54516,53005,56534,55785,54974
Schagen,82437,79420,79168,91860,95108,89871,83248,86575,79723
Scherpenzeel,8718,8720,11425,10359,10233,9197,8978,8464,8096
Schiedam,100494,110097,113723,117674,130274,116821,109673,101892,102840
Schiermonnikoog,887,855,786,1002,928,882,1054,1030,1441
Schijndel,32010,31003,26216,27512,28625,24919,25556,25629,24584
Schinnen,25934,28313,30590,40326,29340,28105,29150,29116,28067
Schouwen-Duiveland,104950,103908,117412,137761,113946,112832,101369,117567,107651
's-Hertogenbosch,219050,247238,285982,286679,316634,336715,324810,336211,342828
Simpelveld,11863,11080,9933,10954,11400,10554,10323,10264,10403
Sint Anthonis,32763,31946,29202,33306,27749,24146,24842,23895,22747
Sint-Michielsgestel,42931,36470,40036,42625,43683,37898,39526,37914,36531
Sint-Oedenrode,35193,34921,33541,41555,47766,47492,55073,54976,53919
Sittard-Geleen,149002,163422,201042,218706,238843,228189,246698,245038,239213
Sliedrecht,45896,54097,57643,58184,61816,58593,60578,57580,54829
Slochteren,48641,59312,63013,69653,63318,64695,66252,64074,67059
Sluis,72606,69341,69498,71562,67143,63889,60450,60872,58102
Smallingerland,82035,92668,98514,105687,121466,130428,127251,123495,124813
Soest,46671,42374,54119,60134,54946,54566,56182,53956,54045
Someren,43555,46931,60753,72419,68131,60197,58857,63416,62881
Son en Breugel,19954,17932,18278,31202,39988,46516,49227,50296,49787
Stadskanaal,51650,46377,46589,49126,40841,40059,37089,39575,39686
Staphorst,64540,81894,101142,99028,104269,109349,113294,107865,102258
Stede Broec,18527,18711,18710,18383,19111,17633,17260,16975,16586
Steenbergen,65935,63166,79562,79162,75808,76599,73348,77911,75884
Steenwijkerland,83971,89924,97378,112347,101752,95201,101122,103196,97799
Stein,28669,29120,27386,28145,31697,33380,35273,33259,32817
Stichtse Vecht,213151,243185,304350,290226,286840,276330,261537,274181,300914
Strijen,31695,31415,45689,43836,35778,39505,39276,41649,43562
Súdwest Fryslân,186897,196982,205942,209238,208220,207815,203038,210067,220555
Ten Boer,23263,20223,22249,25034,18669,17952,17313,16710,15048
Terneuzen,171326,167020,213580,240954,252366,264691,269724,269688,253984
Terschelling,6287,5860,3636,4110,4380,2406,3908,8840,11191
Texel,27131,26260,23889,22061,24810,14809,20992,23847,28043
Teylingen,48328,51023,59303,62766,55552,54738,57042,57278,55338
Tholen,77169,77468,98171,87478,78302,83885,85373,88558,86794
Tiel,75400,80238,110356,107855,111091,107279,126168,124501,111996
Tilburg,229709,233117,249486,252915,365766,364356,380972,387023,375213
Tubbergen,50486,52549,54243,61036,42616,39103,39820,48541,38816
Twenterand,48050,50246,46218,51037,47079,45604,44913,45221,42511
Tynaarlo,70533,80712,75285,77178,77837,76748,79754,78373,80516
Tytsjerksteradiel,60000,59738,69432,79763,61035,60625,58900,56385,57366
Uden,57087,55611,54763,62519,70868,70760,73429,74682,72797
Uitgeest,50024,50532,45612,43289,43100,43327,45277,46529,44952
Uithoorn,30796,29378,28966,28211,23687,23072,23182,23503,22804
Urk,13861,13865,15487,16357,15477,15141,15008,15398,16413
Utrecht,474593,532905,591353,665523,656974,662266,609175,606104,615204
Utrechtse Heuvelrug,156118,167128,186186,172362,179191,182752,182814,168348,176175
Vaals,12017,11209,11551,14327,10640,9464,9400,9201,9110
Valkenburg aan de Geul,32532,34378,40218,39729,36409,36537,39823,36680,35723
Valkenswaard,41318,41304,47377,45825,52625,47194,48183,49836,46404
Veendam,38828,39289,39068,45119,44042,45238,42041,38408,42933
Veenendaal,60873,64585,48296,66166,56712,59228,59525,57401,59285
Veere,43185,42604,46016,46837,40453,40195,36973,41028,37580
Veghel,61039,68128,67034,91264,114933,110997,121591,119090,128985
Veldhoven,40561,44934,42799,44515,64426,61840,60044,60874,60672
Velsen,149801,157332,135210,160909,147186,160051,152329,152214,178457
Venlo,148515,162886,189691,215327,230254,228238,233821,240670,240628
Venray,84863,80904,107692,108039,129483,105196,111058,112708,111189
Vianen,109646,134541,161063,170005,157925,174178,169497,174051,172378
Vlaardingen,89397,91090,77039,73045,89999,85196,84005,75530,75907
Vlagtwedde,38242,35670,37075,41867,26142,24855,23390,23068,27728
Vlieland,814,772,729,681,168,149,154,490,685
Vlissingen,168668,170695,187898,202322,197170,213539,223479,260649,211059
Voerendaal,21498,25287,31728,26973,29806,28617,31076,28788,27646
Voorschoten,18557,16953,17435,17690,15621,14035,14248,15085,14662
Voorst,86760,95350,107081,125344,113701,108415,110734,105964,103360
Vught,48016,48340,71582,69269,71126,75318,64380,68771,64530
Waalre,43168,55246,37407,39228,49431,42294,44548,42186,42093
Waalwijk,74198,91078,96926,96759,110158,113950,123108,115304,109947
Waddinxveen,84152,90508,100134,98009,95241,91824,101060,98898,97310
Wageningen,36331,35318,31762,34362,30063,29385,29428,29816,28976
Wassenaar,30144,29139,59664,57479,60046,63003,52514,60292,60108
Waterland,47214,48711,52546,53076,47053,44315,41661,43843,47419
Weert,93345,103127,124503,156875,139437,131606,136388,135009,130695
Weesp,22868,21033,20670,27154,22264,19777,21213,21051,19985
Werkendam,114628,134158,176772,166200,167219,169701,174644,178910,161216
West Maas en Waal,55258,58177,69572,67564,60235,64063,66530,69370,62651
Westerveld,49995,53437,57727,62363,58697,57199,58788,58211,60945
Westervoort,16211,15972,12827,11927,11736,11926,10680,11239,10552
Westland,140211,127812,142285,153846,154822,143410,143918,144393,146207
Weststellingwerf,56885,63886,68110,71158,75138,71685,76114,75574,76316
Westvoorne,25453,24327,23974,22526,18768,18297,18451,18450,18682
Wierden,57000,65900,80138,86992,89301,84402,82122,82313,77221
Wijchen,71902,83023,80231,82033,92072,90371,90232,89416,86744
Wijdemeren,45767,41695,42673,43837,41604,38431,35175,30915,29616
Wijk bij Duurstede,41475,39871,38894,38946,37104,35007,37320,36596,35279
Winsum,22062,25004,26163,28905,22717,21104,21298,21631,22468
Winterswijk,50381,47788,52303,54187,42119,39666,38264,35664,34563
Woensdrecht,36095,36751,63391,70962,75144,66861,74960,73925,70266
Woerden,147709,169635,205803,208313,209167,211773,227284,224569,216373
Wormerland,31918,33543,57292,54117,60285,57596,63600,58763,56457
Woudenberg,46669,48762,40648,41032,43405,40470,40417,40131,39440
Woudrichem,25719,25268,26505,29727,29122,27808,28339,28367,26474
Zaanstad,140512,133470,179640,179940,187468,172923,160671,161589,156877
Zaltbommel,110288,121512,119125,154607,109299,131419,121607,133995,123549
Zandvoort,14651,13156,11182,11491,9549,8777,8410,9281,9201
Zederik,71398,83322,94054,89388,94282,98819,106378,100197,102130
Zeevang,25606,19641,25689,23297,17340,16791,17031,16541,17092
Zeewolde,86759,93736,110240,115132,85650,84342,81316,86484,79505
Zeist,84258,84769,99717,96784,108811,117426,112492,99936,106079
Zevenaar,69804,78412,84584,82248,84299,82522,85007,83829,81578
Zoetermeer,117344,114444,134641,142009,151628,147837,154184,160581,154937
Zoeterwoude,17207,16030,14133,20823,22559,20399,19520,19391,19886
Zuidhorn,44520,41008,43067,46224,42861,40850,40626,38829,41294
Zuidplas,97269,115177,146663,146906,137985,137833,144191,148262,143952
Zundert,43047,42443,41875,45602,29740,28692,29136,28090,26765
Zutphen,54380,53147,58952,63019,59556,57219,55184,53194,50739
Zwartewaterland,32304,34964,36937,43492,45198,40102,40050,37815,39265
Zwijndrecht,78591,85387,84296,75638,79129,82688,80201,83047,79969
Zwolle,182051,199225,202073,209939,260564,272661,264123,254681,238861
